time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-20T18:01:37.260Z,-0.6961,98.4562,20.764,4.8,mb,107,62,2.173,0.84,us,us6000lgzn,2023-12-26T21:24:48.040Z,"158 km SSE of Teluk Dalam, Indonesia",earthquake,7.83,4.14,0.067,77,reviewed,us,us
2023-10-20T08:45:44.462Z,1.3441,96.8835,10,4.5,mb,27,234,0.693,0.51,us,us6000lgvc,2023-12-26T21:24:43.040Z,"81 km W of Gunungsitoli, Indonesia",earthquake,8.25,1.987,0.128,18,reviewed,us,us
2023-10-16T02:43:49.437Z,-4.2089,100.1931,10,4.3,mb,20,106,2.759,0.29,us,us6000lgwm,2023-12-26T21:24:44.040Z,"234 km W of Bengkulu, Indonesia",earthquake,12.09,1.767,0.201,7,reviewed,us,us
2023-10-15T19:59:36.529Z,-3.6264,101.8627,72.465,4.3,mb,29,138,1.312,0.47,us,us6000lgv3,2023-12-26T21:24:43.040Z,"48 km WNW of Bengkulu, Indonesia",earthquake,6.88,7.752,0.137,15,reviewed,us,us
2023-10-13T07:27:00.291Z,0.1625,97.2016,10,4.1,mb,21,204,1.194,0.26,us,us6000lgjv,2023-12-16T22:13:10.040Z,"80 km SW of Teluk Dalam, Indonesia",earthquake,10.58,1.967,0.174,9,reviewed,us,us
2023-10-07T08:06:21.016Z,-0.2866,97.4413,10,4.7,mb,34,186,1.586,0.57,us,us6000ldq6,2023-12-14T21:26:55.040Z,"103 km SSW of Teluk Dalam, Indonesia",earthquake,10.07,1.945,0.113,24,reviewed,us,us
2023-10-03T04:14:23.726Z,-0.5248,97.9255,10,4.4,mb,38,180,1.85,0.76,us,us6000lcel,2023-12-14T21:26:51.040Z,"122 km S of Teluk Dalam, Indonesia",earthquake,9.27,1.906,0.13,17,reviewed,us,us
2023-09-28T03:56:00.797Z,1.9903,97.4814,50.637,4.6,mb,28,137,0.688,0.48,us,us6000lcjm,2023-12-09T22:00:42.040Z,"47 km SW of Singkil, Indonesia",earthquake,6.98,3.114,0.173,10,reviewed,us,us
2023-09-26T17:25:07.262Z,-2.0649,99.9114,40.184,4.4,mb,40,133,4.829,0.69,us,us6000lay2,2023-12-09T22:00:40.040Z,"36 km E of Tuapejat, Indonesia",earthquake,5.35,7.46,0.103,31,reviewed,us,us
2023-09-24T01:27:34.795Z,1.9095,96.9269,33.273,5.2,mb,87,40,2.142,0.67,us,us7000kxr1,2023-12-09T22:00:44.040Z,"87 km SE of Sinabang, Indonesia",earthquake,8.8,4.108,0.052,123,reviewed,us,us
